uuid,address,n_rooms,n_planes,n_oblique_ge_5deg,n_steep_ge_30deg,oblique_share,incl_p50,incl_p95,area_xz_sum_m2
1825a812-09d0-4407-9265-182a07053cfc,"Morelvej 7, 5250 Odense SV",12,19,6,3,0.316,0.0,90.0,139.552
1900be91-8684-4316-98e2-c4fef6e6296f,"Skovsga rdevej 11, 6000 Kolding",12,87,66,48,0.759,44.58,90.0,210.524
191e11c0-fd47-489c-9e3d-c8072713a761,"Heimdalsvej 46, 6000 Kolding",7,8,0,0,0.0,0.0,0.0,85.146
193c3c70-2271-4c42-ab2c-586e1d64d4cb,"Dagn s Boulevard 23, 8700 Horsens",6,6,0,0,0.0,0.0,0.0,91.81
19459014-f39b-4bf6-945e-c5b50930dea3,"Langagergyden 5, 5792 A rslev",11,25,12,12,0.48,0.0,90.0,171.267
19bf6498-09eb-4c62-8fc8-8623942351ba,"Granv nget 3, 5672 Broby",9,9,0,0,0.0,0.0,0.0,114.233
1a453338-ca2e-49d0-9bd2-da33c07fd348,"Fjordparken 32, 5800 Nyborg",10,10,0,0,0.0,0.0,0.0,118.007
1d26eda3-c927-4cdf-a3b0-218036828a55,"Gerskov Bygade 24, 5450 Otterup",10,60,46,37,0.767,50.36,90.0,148.008
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,"Bredballe Byvej 63, 7120 Vejle, st",29,182,134,107,0.736,37.79,90.0,547.202
21af2a12-2a29-44b5-b703-fbaa208996e9,"Tangvej 20, 7120 Vejle, st",11,41,30,27,0.732,44.38,90.0,139.001
2388d90c-8cc9-4cca-b232-d658e184074d,"Vestergade 32, 5672 Broby",15,28,13,12,0.464,0.3,90.0,215.444
23cbb422-ada0-454d-8f91-30888256960d,"Tom Knudsensvej 31, 5953 Tranek r",9,19,10,6,0.526,5.88,90.0,71.555
24e8aaa7-ec15-4a72-be5f-c67b95a53411,"Frodesdalsvej 8, 8700 Horsens",8,10,1,1,0.1,0.0,49.5,126.942
287808db-3826-4351-b9a1-6f9831bdc870,"Gr nvej 99, 5260 Odense S",11,45,30,22,0.667,23.54,90.0,101.03
294c5209-06ff-47ae-841b-e7e973b3699e,"Kildeparken 40, 6000 Kolding",8,10,2,2,0.2,0.0,90.0,92.626
29865ccb-e7e8-4ad6-a01c-d632f20761b7,"Viggov nget 5, 5250 Odense SV",10,19,9,9,0.474,0.0,90.0,97.041
29a9cb5c-e7e7-4a01-b8ed-b2a2dd0edd2a,"Kildega rdsvej 12, 5792 A rslev",7,12,5,3,0.417,0.0,90.0,108.954
2d80b27f-ca29-4b3e-9197-ad3c4af7cbfb,"Majsvej 79, 5800 Nyborg",8,14,6,1,0.429,0.0,50.21,84.053
2de0ff98-b554-446b-a501-b9fab4577f5a,"Hjertegr svej 7, 5210 Odense NV",8,11,2,2,0.182,0.0,90.0,106.671
2df1d2ed-54c9-41e9-9ed8-c4110e3868e0,"Klaus Berntsens Vej 172, 5260 Odense S",10,12,2,2,0.167,0.0,90.0,116.687
2ea3b759-e047-424c-8034-f8ee5b811fb4,"Bakkega rdsvej 46, 5330 Munkebo",11,12,0,0,0.0,0.0,0.0,142.697
2f382701-addb-48a5-8749-0e8e7f988a10,"Vesterballe 14, 5600 Faaborg",13,40,23,17,0.575,8.87,90.0,140.149
3297bc28-5d39-4358-bd2e-0f1183cae489,"Sophie Breums V nge 2, 5000 Odense C",14,54,37,28,0.685,36.86,90.0,137.932
36f034dc-17ec-4e9d-9ec0-e8b0139201c8,"Skovsga rdevej 13, 5471 S nders ",9,18,7,5,0.389,0.0,90.0,197.297
37e9355f-29a7-4303-abae-240c55df13e4,"Humlebiv nget 50, 5260 Odense S",12,21,8,5,0.381,0.0,90.0,127.858
38158927-652c-4d01-9aa3-770956648d85,"Fundersvej 3, 7100 Vejle",10,15,7,7,0.467,1.99,90.0,121.167
38f71f1d-2c71-4fcd-9997-83b2914416b0,"Birkemosevej 62, 5471 S nders ",12,33,20,17,0.606,39.85,90.0,190.143
3a034c99-8986-4749-aedb-0a5a04ea803f,"K rparken 5, 5450 Otterup",10,19,8,6,0.421,0.0,90.0,102.984
3a576e1b-4b3e-4f5d-8c20-b39b157fcf03,"Kirkegyden 2, 5642 Millinge",11,43,32,23,0.744,42.93,90.0,126.285
3c74f488-a562-4bc4-9d7a-3f707fe85133,"Skovm rkevej 5, st,  5220 Odense S ",14,87,53,24,0.609,6.84,90.0,241.45
3e378d10-6d7f-451c-b5e8-705731e6f37e,"Hvesager 27, 7300 Jelling",8,45,37,29,0.822,39.91,90.0,140.294
3ee81b85-a21f-4f55-a100-5995f36f84f9,"Toftega rdsvej 11, 5471 S nders ",9,9,1,0,0.111,0.0,8.43,101.977
43674d8e-302d-4915-878f-f50d2d9f8d1b,"Teglv rksvej 13, 5492 Vissenbjerg",10,10,0,0,0.0,0.0,0.0,99.42
45b933f5-4f12-488c-b77a-065cf3c2d719,"Hesteh jvej 160, 5260 Odense S",10,10,0,0,0.0,0.0,0.0,105.678
466d0aa8-7021-4825-8f7b-b954c824c13a,"Vester D rkenvej 10, 7323 Give",15,30,15,14,0.5,14.54,84.67,188.11
46ea557e-3151-43d2-b72b-f212290516cc,"Gr vlingev nget 9, 5800 Nyborg",8,15,5,2,0.333,0.0,90.0,109.629
494a97c4-ab7e-4021-9345-c46fecfd1d67,"Heisesvej 2, 7100 Vejle",12,23,11,7,0.478,0.85,90.0,150.107
4fe068d2-f39e-47ed-8c15-35b6396862bf,"Stadionsvej 33, 8700 Horsens",12,24,10,8,0.417,0.0,90.0,144.874
513a4b03-cfb1-4221-99ff-d9b7d1e1d3f6,"Sn de Bygade 48, 5953 Tranek r",6,11,5,5,0.455,0.0,43.77,101.455
52f91e67-3891-4729-8bf3-be2c0a6a0d04,"Vinkelgade 23, 5450 Otterup",7,115,91,63,0.791,30.01,73.66,203.857
53ba9e35-1aeb-43e2-87d2-27be83b949f5,"Albert Naurs Vej 27, 7000 Fredericia",8,8,0,0,0.0,0.0,0.0,92.775
53c380e7-407e-48f7-8c72-b449e2334798,"Lupinvej 7, 5560 Aarup",8,17,9,0,0.529,16.94,19.97,111.538
56108837-05d5-4fe4-bfd5-aec6b649d825,"Lotusvej 37, 5250 Odense SV",8,9,2,0,0.222,0.0,25.7,68.357
573ee2ba-67b9-4bb0-b4ba-47015d09377c,"Egeparken 37B, 5772 Kv rndrup",6,6,0,0,0.0,0.0,0.0,72.502
5831141f-829c-4adb-9bae-289c2140c72d,"Mads Hansens Vej 3, 5000 Odense C",11,50,38,28,0.76,51.5,90.0,127.687
59b505e7-b384-451b-90b1-80f2654dd10d,"Sundeved 6, 6000 Kolding",19,63,42,36,0.667,42.14,90.0,202.644
5a97cb51-78cd-40c7-9dd5-423bdea306a6,"N rre Landevej 23, 6470 Sydals",9,13,3,2,0.231,0.0,54.4,148.149
5c557e06-393e-466e-a957-f7391b76b8ff," bel v nget 16, 5000 Odense C",5,24,18,0,0.75,9.5,22.39,80.913
5ecc6e8c-228b-4167-9331-de247c802320,"Dyrehavevej 149, 6000 Kolding",15,56,39,31,0.696,35.57,90.0,178.926
60f2f02b-8910-461c-879a-75925d256989,"Clausens Alle, 50, 5250 Odense SV",13,30,19,16,0.633,30.71,90.0,144.744
60fa343a-d19a-4d18-b939-33b80e790be6,"S husvej 28, 5270 Odense N",10,37,21,11,0.568,12.47,90.0,126.511
612d1bc8-dbed-47cb-aef5-3e64964ccc04,"Laubsvej 2, 7100 Vejle",10,10,0,0,0.0,0.0,0.0,132.946
6203a969-742b-4935-bc4d-8eae644b8f73,"Skovstrupvej 63, 5690 Tommerup",13,16,3,3,0.188,0.0,60.5,161.847
66a72e63-8b3c-4e57-977b-32f5119a9d09,"Torpvej 2, 5260 Odense S",16,78,57,41,0.731,32.69,90.0,191.886
670a8030-c451-4e80-badd-6702cef02a03,"Teglv rksvej 15, 7100 Vejle",12,45,30,21,0.667,15.68,90.0,144.696
6c29deb7-51e6-437d-bfe4-0eb83e559881,"Lykkesha bs Alle, 16, 5250 Odense SV",8,58,39,19,0.672,19.79,68.46,173.888
6e8a252f-fc38-4ffa-8691-3f43938a0a16,"Nygaardsvej 8, 8722 Hedensted",10,10,0,0,0.0,0.0,0.0,135.262
7153d532-16c1-45e8-b7c9-f5cd1ba5cc85,"Engdalen 8, 5210 Odense NV",16,51,34,11,0.667,18.6,90.0,181.852
71ee522c-1e78-411f-b3ce-33d59516038f,"Reventlowsvej 90, 5600 Faaborg",8,27,13,8,0.481,2.79,90.0,142.266
720c2f50-9586-47b5-b27c-130214cd8b5d,"Lodskovvej 2, 5863 Ferritslev Fyn",14,38,24,17,0.632,26.86,90.0,179.618
72122129-7ee2-4a14-a645-23d44df3d2b5,"Degnemarken 5, 5750 Ringe",16,35,14,13,0.4,0.0,90.0,144.486
73465f84-d5f5-4b84-8509-0e818beb5ecd,"Grejsdalen 6, 5800 Nyborg",14,27,13,5,0.481,1.43,90.0,163.201
73c1d779-2257-4e39-838a-5b026bca2401,"Hesselk r 19, 7100 Vejle",13,17,3,2,0.176,0.0,90.0,169.797
777b25c6-42e6-40d3-a0a4-aaafdd23842e,"Hemmerslev 14, 5471 S nders ",7,27,19,16,0.704,43.13,90.0,85.18
7791ff1d-7641-4da1-8380-1773d30a7bcc,"Fjordparken 28A, 5800 Nyborg",8,9,0,0,0.0,0.0,0.0,108.654
795ceae3-b6ef-42bc-bd48-9b69f06e9de6,"Hedeskovvej 18, 8520 Lystrup",10,12,2,0,0.167,0.0,26.46,133.185
7cabc39b-6328-4a6e-9491-822fa6b3c3fb,"Oensh j 3, 8700 Horsens",12,16,11,1,0.688,12.42,34.84,180.609
7dbc53a6-17e8-4806-83de-42286b95726c,"Gultvedgyden 6, 5772 Kv rndrup",12,132,106,75,0.803,44.99,90.0,321.572
7e42a701-1f0a-451a-8229-05f581454979,"K rmindevej 6, 7100 Vejle",13,13,0,0,0.0,0.0,0.0,134.032
85b7d943-95c9-4937-af42-121f705ed3e0,"Agertoften 2B, 6000 Kolding",9,9,0,0,0.0,0.0,0.0,85.592
873952bc-1159-43dd-b4bd-6535a55c57cf,"Kirkestr de 17, 5400 Bogense",7,56,41,30,0.732,34.1,90.0,85.338
893d4535-3169-4907-a93a-b3ab8f66ec1c,"H jager Alle, 16, 5863 Ferritslev Fyn",12,37,25,8,0.676,15.32,44.63,129.646
8ab161a4-c958-49c9-8ca8-7a997292d52f,"N sbyhave 48, 5270 Odense N",6,15,5,5,0.333,0.83,90.0,64.865
8b723372-749f-4992-a044-d62bb99b84cc,"Ugletoften 221, 5260 Odense S",9,33,24,22,0.727,45.42,90.0,85.486
8e7e69b2-e1db-4482-8f21-93be6904a5f1,"Ta rnvej 1, 5492 Vissenbjerg",10,25,12,4,0.48,0.0,90.0,159.959
8fc0de5f-99be-4295-b529-d389a4670a8f,"Traneh jen 332, 5250 Odense SV",8,8,0,0,0.0,0.0,0.0,82.318
90683bb0-28ca-42a8-82b8-09d82cd434d5,"Ny Havnegade 1B, 8700 Horsens",5,34,26,20,0.765,42.8,90.0,101.153
91f66e67-37e3-4cc9-9815-a4ce71c56a0a,"Egevej 5, 5683 Haarby",9,9,0,0,0.0,0.0,0.0,105.1
938d6ed6-d916-462b-ba37-f421feb2af21,"Bakkevej 2, 8783 Hornsyld",22,29,5,2,0.172,0.0,59.08,330.615
940c5969-1037-4f02-810b-6d4c89b0582b,"S nderbyvej 21, 5450 Otterup",6,6,0,0,0.0,0.0,0.0,122.178
9419424d-2dd9-4dd2-a9d9-e029e32c1f28,"N sby Skovv nge 18, 5270 Odense N",10,38,25,13,0.658,14.63,90.0,90.257
945b16b9-0ebf-409e-af08-aab7672801d2,"Mads Hansensgade 29, 5690 Tommerup",8,14,6,2,0.429,1.86,90.0,90.533
964a40ac-d9df-44e1-b64b-84e02b909004,"Morelvej 24, 5250 Odense SV",9,14,4,2,0.286,0.0,90.0,93.073
97571caa-1065-4ac5-a385-2ec9758026dd,"Jupitervej 11, 7100 Vejle",11,36,26,9,0.722,14.17,90.0,140.156
9829323a-4939-45bf-ae66-b950b18ddf52,"Tom Knudsensvej 45, 5953 Tranek r",6,13,5,3,0.385,2.66,66.4,67.288
98472f6b-45bc-4814-a4b8-914f8f6976dd,"Berildsvej 57, 5610 Assens",7,28,20,4,0.714,7.76,90.0,76.326
992198d7-4dfe-4ecd-9fa0-b66fa6cac3fd,"Kirseb rhaven 51, 5560 Aarup",8,19,7,3,0.368,0.0,78.13,126.869
9bb4ada4-60fb-4ab0-8e05-de49acc92623,"Rugstedvej 12, 7100 Vejle",8,10,1,0,0.1,0.0,3.82,122.218
9bc73438-328e-440e-a4be-25efa61d3b7c,"Byvej 2, 5800 Nyborg",10,31,19,5,0.613,7.31,90.0,115.082
9bdc330e-6144-499b-9c70-3fc6f0c4ebf3," rvigvej 70, 6040 Egtved",17,20,2,2,0.1,0.0,90.0,217.318
9c07bf97-56cd-4d82-a99d-00809d1d8537,"Agertoften 11, 5450 Otterup",11,11,0,0,0.0,0.0,0.0,136.112
9c42b8bc-b55c-427b-b695-9d073c5f8a75,"Skolevej 62, 5690 Tommerup",14,67,46,35,0.687,30.88,90.0,249.657
9c80d7ae-2804-4b2f-83bb-544927398846,"Vantingevej 27, 5750 Ringe",18,29,9,6,0.31,0.0,90.0,275.272
9dce7b8f-036f-42bb-9645-a1b5cc17fbd1,"K rneh jvej 48, 5260 Odense S",9,17,7,3,0.412,0.0,90.0,112.19
a085ad69-b4d4-4296-bc5e-731a0cceec5e,"Grusgyden 70, 5450 Otterup",11,12,1,1,0.083,0.0,41.2,144.372
a1ac389f-7406-4ddf-a270-d9a5e72dbf51,"Gerthasminde 22, 5000 Odense C",11,37,23,20,0.622,34.79,90.0,106.33
a317a543-06cf-4f1b-97d2-139c26c1cb13,"K rbygade 9, 5320 Agedrup",12,88,70,58,0.795,46.78,90.0,333.148
a3997c27-0367-483e-a462-64847105997d,"Niels Ebbesens Vej 40, 7100 Vejle",11,11,0,0,0.0,0.0,0.0,130.948
a430ffa9-a314-4352-8b54-dfbd04634861,"Odensevej 50, 5853, rb k",13,41,24,18,0.585,9.56,90.0,145.118
a443b86f-c86a-47a7-abef-0a56893c99b0,"Skovv nget 36, 5874 Hesselager",11,29,17,15,0.586,39.27,90.0,153.656
a492a5d6-ab9f-4b1e-bbfe-4762c1370a40,"Syrenvej 8, 8722 Hedensted",11,40,26,16,0.65,14.06,90.0,113.095
a4d6eef3-6107-45a3-bd37-3cf2ef4e9efb,"Skovvej 32, 5462 Morud",10,14,4,2,0.286,0.0,73.87,127.819
a8a3b04b-42d0-4468-8b3a-5e2135b9313b,"Ra dyrl kken 2, 5210 Odense NV",8,9,0,0,0.0,0.0,0.0,105.893
a8aca518-ee19-4cef-8df9-1b574c2d43d1,"Skyttegade 3, 5300 Kerteminde",15,49,33,27,0.673,40.04,90.0,141.259
aa047931-2b45-497d-a093-f637a2934699,"Nellikevej 1, 5250 Odense SV",14,19,4,3,0.211,0.0,90.0,191.384
ad2243cf-dac2-4f43-aa8d-37d50dc46a33,"Roldvej 16, 5492 Vissenbjerg",9,9,0,0,0.0,0.0,0.0,114.112
b01824fc-be43-451f-bc6e-aaab701c144d,"B gebakken 3, 5260 Odense S",8,16,4,2,0.25,0.0,90.0,106.252
b4f7407a-5941-4165-947a-a726dc432c69," stergaardsvej 21, 5683 Haarby",9,9,0,0,0.0,0.0,0.0,88.832
b53c11aa-8db7-4aad-a24d-3ffa9eeff5de,"Vesterskovvej 13, 5550 Langeskov",12,34,19,16,0.559,14.34,71.4,162.354
b65126ae-ccca-4032-876f-e9c1c059862c,"Skovgade 2, 5500 Middelfart",13,41,32,27,0.78,46.45,90.0,144.505
b8782b87-5800-42dd-8926-07d8f11cafc0,"Pilevej 4, 8700 Horsens",10,10,0,0,0.0,0.0,0.0,124.204
b8cefbc4-bb4e-4d53-be56-990780166cae,"Brydevej 14, 5700 Svendborg",17,87,63,50,0.724,37.25,90.0,184.991
b8def755-9829-4141-8ecb-3e71ef446d0d,"H C, Andersens Gade 2, 5000 Odense C",12,52,38,24,0.731,26.52,90.0,118.902
b8f923d9-dc6a-4cc2-b99c-b98bb7d01f57," sterbrogade 43, 6000 Kolding",2,10,7,5,0.7,24.7,55.11,22.812
b9575f6d-aa02-4540-ba49-d8e823a41067,"Lucernevej 8, 5210 Odense NV",9,10,0,0,0.0,0.0,0.0,125.566
bad532ea-75de-411a-a390-77f4d6a93ff8,"H C, Andersens Gade 64, 5000 Odense C",10,66,52,40,0.788,42.4,90.0,161.804
bb00df25-e7be-420e-8ad1-1f9be60a4c4a,"Ingridsvej 46, 6000 Kolding",10,21,8,5,0.381,0.0,80.68,123.182
bc2779a4-d0a2-4ba8-abbf-10129d3f82de,"Nr, Bjertvej 154, 6000 Kolding",15,77,52,41,0.675,33.97,90.0,199.623
bfd05652-9331-4260-886d-1b6779ee1bfa,"Christianslundsvej 107, 5800 Nyborg",15,23,4,2,0.174,0.0,38.86,196.745
c001b1ca-ea07-472d-b888-6ab457d4e7d9,"Hesteh jvej 56, 5260 Odense S",10,12,2,1,0.167,0.0,29.29,91.989
c2800052-b0e7-4c30-a881-f813cb0b2043,"Kikkenborgvej 58, 6000 Kolding",12,41,26,15,0.634,14.16,90.0,130.82
c3ddcac0-827d-48dc-9223-4b219d874fa5,"Tingvallavej 51, 5210 Odense NV",10,16,5,2,0.312,0.0,59.36,142.608
c72ad855-9e52-46f1-886d-a9f37911521f,"Bjergga rdsmarken 4, 7140 Stouby",10,21,12,10,0.571,18.06,90.0,119.052
c7898e89-b45b-47f3-96b7-8c1fa96ef9fd,"Skovvej 13, 5300 Kerteminde",6,36,28,23,0.778,34.76,90.0,67.644
c7f2456f-91fe-4aaa-a9ba-d886ec8e0648,"Lilleh jen 8, 5270 Odense N",10,16,3,3,0.188,0.0,90.0,117.906
c814dd8d-190b-4da2-ae80-d41c71e2b797,"Hellig Kors V nget 2, 5600 Faaborg",8,10,2,2,0.2,0.0,90.0,93.487
c87c1e25-ff00-44ec-b823-b0966c81af70,"B gevej 5, 7100 Vejle",11,50,34,29,0.68,45.72,90.0,87.994
c9a43a7c-7171-484c-ac98-54f9ba59b6e6,"Lombjergevej 9, 5750 Ringe",16,32,14,13,0.438,0.0,65.73,158.666
cf982769-994b-4193-a621-91d46d1a3344,"M llerled 28, 5400 Bogense",6,36,26,18,0.722,29.09,56.1,140.863
d28b528a-475b-4ac0-a38d-ee992cd877db,"Egensega rdsvej 4, 5450 Otterup",17,112,84,74,0.75,43.47,90.0,306.955
d32d5562-5763-4c71-a816-6732c638fa6a,"Amagervej 7, 5462 Morud",10,29,17,13,0.586,22.54,90.0,122.127
d4665def-0566-4ccc-aa62-8d562ec6e424,"Bu lowsvej 9, 5700 Svendborg",6,6,0,0,0.0,0.0,0.0,83.131
d683f65d-ad08-4f69-ab23-dbd7ec1bcaed,"Lundsga rds Have 31, 5210 Odense NV",14,26,7,3,0.269,0.0,90.0,263.093
d7f1aa19-5ca9-4e1b-ac1a-c86d63f9ede7,"A sumvej 279, st, tv, 5240 Odense N ",6,8,2,2,0.25,0.0,90.0,50.8
d8308bfc-c2c1-42bd-8503-282571708b8c,"Nyga rdsvej 17, 7100 Vejle",14,33,17,7,0.515,7.13,90.0,167.239
d904fdad-775d-4382-ba44-a4289889745e,"M rkh jvej 1, 5792 A rslev",9,11,1,1,0.091,0.0,45.0,139.766
d928da15-65c0-490c-84df-613a196930f0,"Guldsmedev nget 113, 5260 Odense S",8,9,1,1,0.111,0.0,54.0,91.058
d98923f0-3373-4d3c-ba03-c0df5d8b29d8,"Sp lrundevej 8, 6000 Kolding",8,9,0,0,0.0,0.0,0.0,101.715
dd4ba0e6-c9e0-444f-b815-9ad921cd3b87,"Gammel Sving 13, 7100 Vejle",9,27,15,13,0.556,10.86,90.0,137.754
df1f5f4f-8801-4d5d-9c64-f0ea8e1ce027,"Ra dyrl kken 185, 5210 Odense NV",8,8,0,0,0.0,0.0,0.0,104.024
dfb88995-ff0a-4025-878b-b544364f8e92,"Svendborgvej 51, 5750 Ringe",8,32,21,20,0.656,48.94,90.0,101.425
e0155eef-34a5-4642-bca6-39b83ee42af1,"Bj rnevej 4, 7000 Fredericia",12,79,53,38,0.671,26.05,90.0,168.444
e01a968a-24dd-4ca3-b46f-5aff03b1779f,"Smallema let 35, 5250 Odense SV",7,7,0,0,0.0,0.0,0.0,104.995
e028bcc5-73ee-45f9-924b-d7badbc66caf,"Firehusevej 1, 7100 Vejle",16,62,42,29,0.677,20.83,90.0,293.495
e0796748-79fd-40ae-be1f-e5977a9fe1e5,"Toftev nget 6, 5260 Odense S",13,20,4,3,0.2,0.0,47.66,142.386
e496ca55-bafb-4b8b-b3f1-5f6fb5ae8c7e,"Nymarksgyden 67, 5474 Veflinge",18,53,30,26,0.566,25.81,90.0,285.889
e4fe9821-2270-4d23-bc74-703743b5d282,"Hj llundvej 24, 7361 Ejstrupholm",11,15,1,0,0.067,0.0,5.22,190.091
e5adc187-70eb-4828-aa90-5fe3c46dfbce,"Rostrupvej 99, 5471 S nders ",11,24,13,12,0.542,24.24,90.0,120.89
e721a943-1c4f-4bd6-b8a3-f9558de79921,"B gevej 5, 8723 L sning",9,9,1,0,0.111,0.0,11.25,74.03
e7452ac7-517e-4321-9201-d52bf7f0cae9,"M lleh jv nget 47, 5792 A rslev",12,21,6,1,0.286,0.0,14.01,150.526
e93694c4-b9a9-4184-ab47-4d0d0a8504b2,"Kjeld Abellsvej 3, 7100 Vejle",7,9,1,0,0.111,0.0,8.85,66.782
e9a5d5e2-17c8-4879-89f2-f6a3af5cfd38,"Elme Alle 30, 8766 N rre Snede",8,8,0,0,0.0,0.0,0.0,80.227
e9dddee6-297a-43f5-b862-90091889ea39,"Strandvejen 7, 5450 Otterup",14,68,48,31,0.706,28.59,90.0,157.454
e9f0631f-ae34-4d30-af21-d3369327755f,"S vangsvej 16, 5300 Kerteminde",20,91,62,40,0.681,12.06,90.0,341.421
ebd94f02-abc2-476d-8bf9-9bdfbc2a58dd,"A l kken 15, 5250 Odense SV",13,13,0,0,0.0,0.0,0.0,200.171
ebded652-9e37-4267-992a-8b575c9e1016,"Syrenvej 65, 5700 Svendborg",9,9,0,0,0.0,0.0,0.0,118.243
ed5231c3-375e-426e-b341-62f6d2b0b3f5," sterga rdsvej 2, 7080 B rkop",7,13,7,0,0.538,11.64,18.48,106.276
ed646d77-0d2b-4d72-b20d-be6aac6aa669,"Tuja Alle 2C, 7100 Vejle",14,14,0,0,0.0,0.0,0.0,244.979
ed89b2f2-38dd-455f-a3df-13d92cdc1f8b,"Pilevej 6, 5620 Glamsbjerg",7,8,0,0,0.0,0.0,0.0,91.034
eda4954e-036f-4e74-817f-23ce2d309aa3,"L rkev nget 7, 5492 Vissenbjerg",6,6,0,0,0.0,0.0,0.0,75.968
ef522d94-2279-4b9e-bd8f-90bb37043910,"Slotsv nget 3, 5853, rb k",10,10,0,0,0.0,0.0,0.0,110.676
f16973df-10b9-4369-9f0d-dd295a34d970," stervang 5, 7160 T rring",10,17,7,7,0.412,0.0,90.0,113.706
f40dcc9f-b97b-4bef-8b40-ba011aabf0bd,"Kildegaardsvej 8, 5856 Ryslinge",9,9,0,0,0.0,0.0,0.0,120.736
f46b4d89-ae67-405c-af8b-eb7396b06ef8,"Kancellivej 15, 5200 Odense V",10,44,31,26,0.705,38.61,90.0,95.791
f919a443-ea71-4391-9bcb-bff1cf08c45d,"Skovgyden 7, 5853, rb k",8,9,0,0,0.0,0.0,0.0,112.436
f932e0d3-b002-4f89-97e7-ec54d4703506,"Strandgade 28, 5683 Haarby",14,32,16,12,0.5,7.96,90.0,164.591
fb279aa5-092f-4146-83ff-b557415e7ba4,"Hedemarken 14, 5600 Faaborg",10,19,10,1,0.526,7.32,21.88,152.068
fc46b0be-a3aa-4a28-820c-a16691bcdd61,"Carl Nielsensvej 21, 5792 A rslev",9,9,0,0,0.0,0.0,0.0,120.471
fd6ee1a7-7243-4c9b-ad7a-5d146b7f8706,"Vesterl kken 17, 5210 Odense NV",9,11,0,0,0.0,0.0,0.0,137.922
fe829d59-c9f1-4194-a40b-39600a4f27b6,"R jrupvej 13B, 5550 Langeskov",14,31,14,14,0.452,0.0,90.0,170.732
feccbd0c-0420-4775-b5b7-49b99559947e,"Morelvej 68, 5250 Odense SV",10,15,5,1,0.333,0.0,43.13,91.708
